time,pitch,energy
3.48,972.0,82.05072460400994
3.49,961.0,82.3837335054795
3.5,950.0,82.83939483116845
3.5100000000000002,932.0,83.37664232242896
3.52,911.0,83.8736117889327
3.5300000000000002,895.0,84.23388276417008
3.54,883.0,84.4365565091112
3.5500000000000003,879.0,84.51012454562326
3.56,881.0,84.51825984315714
3.5700000000000003,888.0,84.54743661151436
3.58,905.0,84.59473083642246
3.59,930.0,84.42916018950021
3.6,956.0,83.65827198276422
3.61,985.0,81.91566330453185
3.62,1027.0,78.96373194430186
3.63,1012.0,74.8306387280579
3.64,1025.0,70.36580814025612
3.65,1016.0,67.6379207138926
3.66,-3000.0,67.10127586817293
3.67,-3000.0,67.1190337255555
3.68,-3000.0,67.30876324570735
3.69,-3000.0,68.58897585189527
3.7,1017.0,71.6989914204675
3.71,1087.0,75.44355627296781
3.72,1093.0,78.55512704376854
3.73,1085.0,80.64822885481819
3.74,1061.0,81.76633767989964
3.75,1040.0,82.18834009493523
3.7600000000000002,1017.0,82.33445136295478
3.77,1006.0,82.52936487881964
3.7800000000000002,993.0,82.79021560099156
3.79,980.0,82.965019632799
3.8000000000000003,967.0,82.97886675394422
3.81,957.0,82.9080946681547
3.8200000000000003,949.0,82.89792361795111
3.83,940.0,83.00285193837387
3.84,932.0,83.15539457904424
3.85,924.0,83.2968417350026
3.86,919.0,83.41438583630985
3.87,918.0,83.45819205854657
3.88,911.0,83.34727425610733
3.89,902.0,83.07961436212462
3.9,891.0,82.80166983273612
3.91,880.0,82.72712002507416
3.92,877.0,82.89941434377786
3.93,875.0,83.12722408790732
3.94,874.0,83.23360647287427
3.95,873.0,83.21452170965512
3.96,872.0,83.17082744909928
3.97,871.0,83.16215007490231
3.98,875.0,83.15203332999528
3.99,882.0,83.12482870605946
4.0,893.0,83.19248287328331
4.01,905.0,83.46921133951905
4.0200000000000005,916.0,83.86211533676499
4.03,928.0,84.16209136073306
4.04,946.0,84.29843737536555
4.05,967.0,84.38642444139424
4.0600000000000005,984.0,84.5338386222851
4.07,996.0,84.66539567286098
4.08,1012.0,84.63305155074805
4.09,1022.0,84.35237704835538
4.1,1040.0,83.73726578494669
4.11,1057.0,82.67984323458445
4.12,1076.0,81.2466881514356
4.13,1101.0,79.90854621913901
4.14,1113.0,79.28748330170694
4.15,1125.0,79.3520599870299
4.16,1126.0,79.58475065193385
4.17,1130.0,79.74501167389502
4.18,1133.0,79.87432070113562
4.19,1139.0,79.99590721103338
4.2,1144.0,80.00671405207214
4.21,1148.0,79.81246882618227
4.22,1150.0,79.42334268308174
4.23,1155.0,78.91723300485583
4.24,1161.0,78.39752878882805
4.25,1164.0,77.9908643238903
4.26,1167.0,77.79030356426004
4.2700000000000005,1166.0,77.74976715622464
4.28,1170.0,77.71626200046691
4.29,1171.0,77.59273650917649
4.3,1172.0,77.41868818082804
4.3100000000000005,1171.0,77.30045149095984
4.32,1171.0,77.29079856838798
4.33,1171.0,77.35167513532295
4.34,1173.0,77.4051263816927
4.3500000000000005,1174.0,77.39228183024997
4.36,1177.0,77.31090164808371
4.37,1179.0,77.20458343418431
4.38,1178.0,77.1068243266604
4.39,1177.0,77.01639190859177
4.4,1174.0,76.92930659924605
4.41,1170.0,76.87600922201833
4.42,1168.0,76.94301439711006
4.43,1166.0,77.25773374795477
4.44,1163.0,77.91286782728514
4.45,1155.0,78.88805792574475
4.46,1145.0,80.02600369797287
4.47,1132.0,81.08069440038356
4.48,1111.0,81.83361423670809
4.49,1081.0,82.19823525317989
4.5,1044.0,82.25187138593235
4.51,1010.0,82.16542999241202
4.5200000000000005,991.0,82.04178121278521
4.53,975.0,81.82655824261799
4.54,972.0,81.37272138152355
4.55,974.0,80.4972663755416
4.5600000000000005,978.0,79.00579454743043
4.57,976.0,76.79303878699429
4.58,976.0,74.09871723591343
4.59,985.0,71.8534100962466
4.6000000000000005,978.0,71.09971776389646
4.61,974.0,71.6234941201034
4.62,976.0,72.93671922906269
4.63,987.0,74.65877651840803
4.64,986.0,76.16552886702483
4.65,994.0,77.1063968223752
4.66,993.0,77.52018255004322
4.67,992.0,77.60332894009123
4.68,993.0,77.52558765793462
4.69,995.0,77.39345698299456
4.7,993.0,77.28802142988357
4.71,989.0,77.26256526579216
4.72,986.0,77.32720680345977
4.73,983.0,77.45094937477498
4.74,981.0,77.57205393721765
4.75,980.0,77.64074879997746
4.76,979.0,77.65505976803212
4.7700000000000005,978.0,77.6368147793013
4.78,980.0,77.59875779588717
4.79,982.0,77.55523119970702
4.8,985.0,77.53146559317136
4.8100000000000005,989.0,77.53473672308738
4.82,990.0,77.53550433418931
4.83,992.0,77.49505274136929
4.84,993.0,77.40341831883171
4.8500000000000005,996.0,77.28574721599186
4.86,1000.0,77.17593171000777
4.87,1001.0,77.09274368412741
4.88,1001.0,77.04766516233083
4.89,998.0,77.05630835034614
4.9,992.0,77.1260382169528
4.91,988.0,77.24877257536724
4.92,986.0,77.40759377272381
4.93,983.0,77.57299956169561
4.94,981.0,77.70428080613678
4.95,981.0,77.77365911408945
4.96,982.0,77.78689136346462
4.97,984.0,77.77505164396396
4.98,985.0,77.76539191519424
4.99,985.0,77.76216590555258
5.0,985.0,77.75386708725179
5.01,985.0,77.7326889484754
5.0200000000000005,986.0,77.70866341763323
5.03,986.0,77.70136207412529
5.04,986.0,77.71224481250268
5.05,985.0,77.72236196443633
5.0600000000000005,987.0,77.71962541678796
5.07,988.0,77.7046482508104
5.08,988.0,77.68286501801688
5.09,987.0,77.67461633301309
5.1000000000000005,985.0,77.70754113962381
5.11,982.0,77.78144502884592
