Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time
995.339,273.209,1004.404,436.112,836.401,459.594,802.671,692.110,771.619,887.392,1178.375,413.557,1291.450,622.765,1331.433,850.631,1039.864,816.116,927.339,832.742,743.562,963.295,,,1143.958,800.601,1352.727,817.380,,,953.705,247.891,1024.366,237.464,909.658,271.247,1075.113,247.754,,,,,,,,,,,,,56,2.352
995.617,273.901,1004.243,436.120,836.401,459.605,803.390,692.320,771.627,887.420,1177.999,414.689,1289.330,624.860,1330.538,855.114,1041.702,816.582,926.731,832.366,743.500,963.113,,,1145.759,801.889,1352.948,817.367,,,954.169,247.754,1024.836,238.773,910.125,271.221,1074.988,247.781,,,,,,,,,,,,,57,2.394
995.476,274.355,1004.014,436.139,836.400,459.623,804.021,691.961,771.642,887.229,1177.467,415.316,1288.243,626.972,1330.029,857.465,1041.189,816.786,925.659,832.034,743.750,962.930,,,1145.649,802.637,1351.337,817.353,,,954.304,247.548,1024.981,239.155,910.267,271.217,1074.772,247.790,,,,,,,,,,,,,58,2.436
995.250,274.495,1004.147,436.162,836.395,459.638,804.394,692.089,771.649,886.713,1177.525,415.497,1287.825,627.268,1330.704,857.169,1041.216,816.540,925.859,832.104,744.692,962.748,,,1145.246,801.016,1350.289,817.340,,,954.148,247.682,1024.835,238.866,910.111,271.222,1074.886,247.801,,,,,,,,,,,,,59,2.478
995.372,274.353,1004.157,436.177,836.396,459.660,804.116,692.098,771.655,886.917,1177.891,415.304,1287.343,626.619,1331.051,856.251,1041.304,816.239,926.409,832.953,745.427,962.566,,,1144.547,800.025,1345.919,817.326,,,953.913,247.696,1024.614,238.842,909.871,271.243,1074.870,247.808,,,,,,,,,,,,,60,2.520
995.493,274.136,1004.154,436.171,836.395,459.661,803.887,692.120,771.660,886.751,1177.765,414.900,1286.839,625.567,1330.792,855.191,1041.030,815.692,925.573,834.108,746.604,962.383,,,1144.883,800.080,1345.834,817.312,,,954.026,247.707,1024.735,239.361,909.986,271.263,1074.861,247.822,,,,,,,,,,,,,61,2.562
995.266,274.266,1004.156,436.157,836.396,459.659,804.009,692.131,771.652,886.794,1177.786,414.569,1286.903,625.567,1330.800,854.580,1039.391,815.049,924.038,834.088,747.031,962.201,,,1144.204,800.962,1347.710,817.299,,,954.012,247.724,1024.729,240.065,909.975,271.272,1074.855,247.832,,,,,,,,,,,,,62,2.604
995.115,274.271,1004.287,436.142,836.401,459.643,804.010,692.137,771.642,886.970,1177.932,414.775,1286.730,625.939,1330.803,854.613,1038.542,815.892,922.261,834.405,747.336,962.019,,,1144.719,804.489,1352.862,817.285,,,954.007,247.734,1024.725,240.407,909.945,271.247,1074.846,247.842,,,,,,,,,,,,,63,2.646
995.241,274.272,1004.059,436.126,836.403,459.627,804.002,692.128,771.634,887.414,1177.705,415.010,1286.529,626.268,1330.797,854.571,1036.623,815.764,920.179,834.687,747.675,961.836,,,1144.495,805.210,1353.218,817.272,,,954.010,247.736,1024.726,240.412,909.928,271.222,1074.845,247.845,,,,,,,,,,,,,64,2.688
995.681,274.272,1003.912,436.120,836.406,459.615,803.998,692.110,771.631,887.316,1177.554,415.335,1287.014,627.529,1330.772,854.500,1033.964,813.437,917.390,832.960,747.505,961.654,,,1143.299,801.914,1354.983,817.258,,,954.022,247.732,1024.731,240.080,909.933,271.209,1074.854,247.839,,,,,,,,,,,,,65,2.730
